Exchange Name,Exchange Acronym,Exchange MIC Code,Country,Currency,Time Zone,Open Time,Close Time
New York Stock Exchange,NYSE,XNYS,United States,USD,America/New_York,09:30,16:00
NASDAQ,NASDAQ,XNAS,United States,USD,America/New_York,09:30,16:00
NYSE American,AMEX,XASE,United States,USD,America/New_York,09:30,16:00
Chicago Board Options Exchange,CBOE,XCBO,United States,USD,America/Chicago,08:30,15:15
Chicago Mercantile Exchange,CME,XCME,United States,USD,America/Chicago,08:30,15:15
New York Mercantile Exchange,NYMEX,XNYM,United States,USD,America/New_York,09:00,17:30
Intercontinental Exchange,ICE,XICE,United States,USD,America/New_York,08:00,18:00
London Stock Exchange,LSE,XLON,United Kingdom,GBP,Europe/London,08:00,16:30
London Metal Exchange,LME,XLME,United Kingdom,GBP,Europe/London,08:00,17:00
Euronext Paris,EPA,XPAR,France,EUR,Europe/Paris,09:00,17:35
Euronext Amsterdam,AEX,XAMS,Netherlands,EUR,Europe/Amsterdam,09:00,17:35
Euronext Brussels,EBR,XBRU,Belgium,EUR,Europe/Brussels,09:00,17:35
Euronext Lisbon,ELI,XLIS,Portugal,EUR,Europe/Lisbon,08:00,16:30
Deutsche Boerse Xetra,XETRA,XETR,Germany,EUR,Europe/Berlin,09:00,17:30
Frankfurt Stock Exchange,FSE,XFRA,Germany,EUR,Europe/Berlin,09:00,17:30
Borsa Italiana,BIT,XMIL,Italy,EUR,Europe/Rome,09:00,17:35
Bolsa de Madrid,BME,XMAD,Spain,EUR,Europe/Madrid,09:00,17:35
SIX Swiss Exchange,SIX,XSWX,Switzerland,CHF,Europe/Zurich,09:00,17:30
Oslo Bors,OSE,XOSL,Norway,NOK,Europe/Oslo,09:00,16:20
Nasdaq Stockholm,STO,XSTO,Sweden,SEK,Europe/Stockholm,09:00,17:30
Nasdaq Copenhagen,CPH,XCSE,Denmark,DKK,Europe/Copenhagen,09:00,17:00
Nasdaq Helsinki,HEL,XHEL,Finland,EUR,Europe/Helsinki,10:00,18:30
Nasdaq Iceland,ICE,XICE,Iceland,ISK,Atlantic/Reykjavik,09:30,15:30
Wiener Boerse,WBAG,XWBO,Austria,EUR,Europe/Vienna,09:00,17:35
Prague Stock Exchange,PSE,XPRA,Czech Republic,CZK,Europe/Prague,09:00,16:20
Budapest Stock Exchange,BSE,XBUD,Hungary,HUF,Europe/Budapest,09:00,17:00
Warsaw Stock Exchange,WSE,XWAR,Poland,PLN,Europe/Warsaw,09:00,17:05
Bucharest Stock Exchange,BVB,XBSE,Romania,RON,Europe/Bucharest,10:00,18:00
Athens Stock Exchange,ATHEX,ASEX,Greece,EUR,Europe/Athens,10:00,17:20
Borsa Istanbul,BIST,XIST,Turkey,TRY,Europe/Istanbul,09:30,18:00
Moscow Exchange,MOEX,MISX,Russia,RUB,Europe/Moscow,10:00,18:45
Tokyo Stock Exchange,TSE,XTKS,Japan,JPY,Asia/Tokyo,09:00,15:30
Osaka Exchange,OSE,XOSE,Japan,JPY,Asia/Tokyo,09:00,15:30
Shanghai Stock Exchange,SSE,XSHG,China,CNY,Asia/Shanghai,09:30,15:00
Shenzhen Stock Exchange,SZSE,XSHE,China,CNY,Asia/Shanghai,09:30,15:00
Hong Kong Stock Exchange,HKEX,XHKG,Hong Kong,HKD,Asia/Hong_Kong,09:30,16:00
Korea Exchange,KRX,XKRX,South Korea,KRW,Asia/Seoul,09:00,15:30
Taiwan Stock Exchange,TWSE,XTAI,Taiwan,TWD,Asia/Taipei,09:00,13:30
Singapore Exchange,SGX,XSES,Singapore,SGD,Asia/Singapore,09:00,17:00
Bursa Malaysia,KLSE,XKLS,Malaysia,MYR,Asia/Kuala_Lumpur,09:00,17:00
Indonesia Stock Exchange,IDX,XIDX,Indonesia,IDR,Asia/Jakarta,09:30,15:50
Philippine Stock Exchange,PSEi,XPHS,Philippines,PHP,Asia/Manila,09:30,15:30
Stock Exchange of Thailand,SET,XBKK,Thailand,THB,Asia/Bangkok,10:00,16:30
Ho Chi Minh Stock Exchange,HOSE,XSTC,Vietnam,VND,Asia/Ho_Chi_Minh,09:00,15:00
Bombay Stock Exchange,BSE,XBOM,India,INR,Asia/Kolkata,09:15,15:30
National Stock Exchange of India,NSE,XNSE,India,INR,Asia/Kolkata,09:15,15:30
Karachi Stock Exchange,KSE,XKAR,Pakistan,PKR,Asia/Karachi,09:30,15:30
Colombo Stock Exchange,CSE,XCOL,Sri Lanka,LKR,Asia/Colombo,09:30,14:30
Dhaka Stock Exchange,DSE,XDHA,Bangladesh,BDT,Asia/Dhaka,10:00,14:30
Nepal Stock Exchange,NEPSE,XNEP,Nepal,NPR,Asia/Kathmandu,11:00,15:00
Tel Aviv Stock Exchange,TASE,XTAE,Israel,ILS,Asia/Jerusalem,09:59,17:25
Saudi Exchange,Tadawul,XSAU,Saudi Arabia,SAR,Asia/Riyadh,10:00,15:00
Abu Dhabi Securities Exchange,ADX,XADS,United Arab Emirates,AED,Asia/Dubai,10:00,14:00
Dubai Financial Market,DFM,XDFM,United Arab Emirates,AED,Asia/Dubai,10:00,14:00
Qatar Stock Exchange,QSE,XQAT,Qatar,QAR,Asia/Qatar,09:30,13:00
Kuwait Stock Exchange,KSE,XKUW,Kuwait,KWD,Asia/Kuwait,09:30,12:30
Bahrain Bourse,BSE,XBAH,Bahrain,BHD,Asia/Bahrain,09:00,13:00
Muscat Securities Market,MSM,XMUS,Oman,OMR,Asia/Muscat,09:30,13:00
Amman Stock Exchange,ASE,XAMM,Jordan,JOD,Asia/Amman,10:00,12:00
Beirut Stock Exchange,BSE,XBEY,Lebanon,LBP,Asia/Beirut,09:30,12:30
Egyptian Exchange,EGX,XCAI,Egypt,EGP,Africa/Cairo,10:00,14:30
Casablanca Stock Exchange,CSE,XCAS,Morocco,MAD,Africa/Casablanca,09:30,15:30
Tunis Stock Exchange,BVMT,XTUN,Tunisia,TND,Africa/Tunis,09:00,13:30
Nairobi Securities Exchange,NSE,XNAI,Kenya,KES,Africa/Nairobi,09:30,15:00
Nigerian Stock Exchange,NGX,XLAG,Nigeria,NGN,Africa/Lagos,10:00,14:30
Johannesburg Stock Exchange,JSE,XJSE,South Africa,ZAR,Africa/Johannesburg,09:00,17:00
Zimbabwe Stock Exchange,ZSE,XZIM,Zimbabwe,ZWL,Africa/Harare,10:00,12:00
Ghana Stock Exchange,GSE,XGHA,Ghana,GHS,Africa/Accra,09:30,15:00
Dar es Salaam Stock Exchange,DSE,XDAR,Tanzania,TZS,Africa/Dar_es_Salaam,10:00,15:00
Uganda Securities Exchange,USE,XUGA,Uganda,UGX,Africa/Kampala,09:00,14:00
Rwanda Stock Exchange,RSE,XRWA,Rwanda,RWF,Africa/Kigali,09:00,12:00
Lusaka Securities Exchange,LuSE,XLUS,Zambia,ZMW,Africa/Lusaka,10:00,14:00
Botswana Stock Exchange,BSE,XBOT,Botswana,BWP,Africa/Gaborone,09:00,17:00
Stock Exchange of Mauritius,SEM,XMAU,Mauritius,MUR,Indian/Mauritius,09:00,13:30
Toronto Stock Exchange,TSX,XTSE,Canada,CAD,America/Toronto,09:30,16:00
TSX Venture Exchange,TSXV,XTSX,Canada,CAD,America/Toronto,09:30,16:00
Mexican Stock Exchange,BMV,XMEX,Mexico,MXN,America/Mexico_City,08:30,15:00
B3 Brazil,B3,BVMF,Brazil,BRL,America/Sao_Paulo,10:00,17:30
Buenos Aires Stock Exchange,BCBA,XBUE,Argentina,ARS,America/Argentina/Buenos_Aires,11:00,17:00
Santiago Stock Exchange,SSE,XSGO,Chile,CLP,America/Santiago,09:30,17:30
Bolsa de Valores de Colombia,BVC,XBOG,Colombia,COP,America/Bogota,09:00,16:00
Lima Stock Exchange,BVL,XLIM,Peru,PEN,America/Lima,09:00,17:00
Caracas Stock Exchange,BVC,XCAR,Venezuela,VES,America/Caracas,09:30,13:00
Australian Securities Exchange,ASX,XASX,Australia,AUD,Australia/Sydney,10:00,16:00
New Zealand Exchange,NZX,XNZE,New Zealand,NZD,Pacific/Auckland,10:00,17:00
Papua New Guinea Exchange,POMSoX,XPOM,Papua New Guinea,PGK,Pacific/Port_Moresby,10:00,12:00
Jamaica Stock Exchange,JSE,XJAM,Jamaica,JMD,America/Jamaica,09:30,12:30
Trinidad and Tobago Stock Exchange,TTSE,XTRN,Trinidad and Tobago,TTD,America/Port_of_Spain,09:30,12:00
Bermuda Stock Exchange,BSX,XBER,Bermuda,USD,Atlantic/Bermuda,09:00,17:00
Cayman Islands Stock Exchange,CSX,XCAY,Cayman Islands,KYD,America/Cayman,09:00,17:00
